Job Title,Company,Location,Description,Skills,Salary
Service Supervisor (Piping Division),BGC Australia,"Perth CBD, Perth","About the Role BGC Housing Group is seeking experienced Service Supervisors to join our Piping Division working in the maintenance and renovation space. This position offers significant job security , with a minimum 10 year-expected job book ahead of us. In this role, you will be responsible for overseeing the remediation of damage caused by defective polybutylene piping and project managing the repair works. This includes supervising warranty-related remediation work within a designated area a…",Trade & Construction Jobs,Not specified
Retail Team Member - Doubleview,Ampol,"Perth CBD, Perth","At Ampol, We’re Powered by People! As one of Australia’s leading convenience retailers, Ampol is all about making life easier for our customers. Whether they’re fuelling up, grabbing essentials, or just stopping by, we’re here to make their experience smooth and pleasant. With a friendly smile and a warm greeting, we ensure our customers get exactly what they need, quickly and efficiently. Job Description What You'll Do: As a Retail Team Member, you’ll play a crucial role in keeping our stores …",Retail Jobs,Not specified
Supplier Management Lead,Austal,"Perth CBD, Perth","Supplier Management Lead About Austal Austal is Australia’s global shipbuilder, Defence prime contractor and maritime technology partner of choice, designing, constructing, and supporting defence and commercial vessels for the world’s leading operators. The company operates in Australia, the USA, Philippines, and Vietnam. Austal is delivering multiple naval shipbuilding and sustainment programs for the Royal Australian Navy, Australian Border Force, and the Department of Defence, employing appr…",Logistics & Warehouse Jobs,Not specified
Shipbuilding Process Specialist,Austal,"Perth CBD, Perth","Why Austal Austal is Australia’s global shipbuilder, Defence prime contractor and maritime technology partner of choice, designing, constructing, and supporting defence and commercial vessels for the world’s leading operators. The company operates in Australia, the USA, Philippines, and Vietnam. Austal Australia is delivering multiple naval shipbuilding and sustainment programs for the Royal Australian Navy, Australian Border Force, and the Department of Defence, employing approximately 1,000 p…",Engineering Jobs,128000
Supplier Management Lead,Austal,"Perth CBD, Perth","Supplier Management Lead About Austal Austal is Australia’s global shipbuilder, Defence prime contractor and maritime technology partner of choice, designing, constructing, and supporting defence and commercial vessels for the world’s leading operators. The company operates in Australia, the USA, Philippines, and Vietnam. Austal is delivering multiple naval shipbuilding and sustainment programs for the Royal Australian Navy, Australian Border Force, and the Department of Defence, employing appr…",Logistics & Warehouse Jobs,135000
Senior HR Business Partner,Austal,"Perth CBD, Perth","Why Austal Austal is Australia’s global shipbuilder, Defence prime contractor and maritime technology partner of choice, designing, constructing, and supporting defence and commercial vessels for the world’s leading operators. The company operates in Australia, the USA, Philippines, and Vietnam. Austal Australia is delivering multiple naval shipbuilding and sustainment programs for the Royal Australian Army, Australian Border Force, and the Department of Defence, employing approximately 1,000 p…",HR & Recruitment Jobs,140000
Digital Business Analyst,Austal,"Perth CBD, Perth","Why Austal Austal is Australia’s global shipbuilder, Defence prime contractor and maritime technology partner of choice, designing, constructing, and supporting defence and commercial vessels for the world’s leading operators. The company operates in Australia, the USA, Philippines, and Vietnam. Austal Australia is delivering multiple naval shipbuilding and sustainment programs for the Royal Australian Navy, Australian Border Force, and the Department of Defence, employing approximately 1,000 p…",IT Jobs,108000
Senior Asset Management Engineer,Verbrec,"Perth CBD, Perth","Make a real impact At Verbrec, you will get to directly influence the transition to renewable energy systems and decarbonisation. Help us as we become a recognised partner for a sustainable future while enabling our clients and their customers achieve their energy transition objectives. With over 400 dedicated team members operating out of locations across Australia and New Zealand, Verbrec is an ASX listed company (ASX: VBC) providing industry leading engineering, operations and training servi…",Engineering Jobs,145000
Regional Process Engineer,Cleanaway 2020,"Perth, Perth Region","Regional Process Engineer About Us Join us at Cleanaway and contribute to making a sustainable future possible, together. We transform waste into resources and renewable energy. When you start to think of waste as a resource, it opens a world of possibilities. As a high growth, ASX listed organisation with over 10,000 employees, our goal is to be recognised by our customers as the most innovative and sustainable waste management company with industry leading HSE performance. We are Australia’s …",Engineering Jobs,Not specified
Contracts Administrator,Monadelphous,"Perth CBD, Perth","These exciting opportunities are based at our Victoria Park Head Office, where you’ll play a key role in supporting our Project Managers or Business Unit Managers. You’ll be at the heart of decision-making—setting priorities, driving projects forward, and ensuring deadlines and budgets are met. If you thrive under pressure, excel at problem-solving, and can work independently while keeping things running smoothly, this is your chance to make an impact! Working with Monadelphous offers many bene…",Engineering Jobs,Not specified
Principal Mechanical Engineer,KBR,"Perth, Perth Region","Title: Principal Mechanical Engineer Due to continued growth within Defence and Maritime, KBR is seeking a Principal Mechanical Engineer to join our team. Based in either Adelaide or Perth, this role will see you leading the design, specification, and package management of cranes, hoists, and load-handling systems. You'll be at the forefront of projects that demand precision, safety, and compliance, while working closely with suppliers, stakeholders, and cross-disciplinary teams to deliver outc…",Engineering Jobs,Not specified
Senior Consultant,Join the Prophix Team,"Perth CBD, Perth","See what you can do with Prophix® Prophix is a fast-growing global leader in financial performance management. Ambitious finance teams use Prophix One ™ , our Financial Performance Platform, to improve the speed and accuracy of their decision-making with a harmonized user experience, stepping confidently into the next generation of finance. Headquartered in Etobicoke, Ontario with offices in 16 cities, we work with a global network of partners across North America, South America, the UK, Europe…",Accounting & Finance Jobs,Not specified
Consultant,Join the Prophix Team,"Perth CBD, Perth","See what you can do with Prophix® Prophix is a fast-growing global leader in financial performance management. Ambitious finance teams use Prophix One ™ , our Financial Performance Platform, to improve the speed and accuracy of their decision-making with a harmonized user experience, stepping confidently into the next generation of finance. Headquartered in Etobicoke, Ontario with offices in 16 cities, we work with a global network of partners across North America, South America, the UK, Europe…",Consultancy Jobs,Not specified
Corporate Policy and Strategy Advisor,City of Port Phillip,Australia,"Salary Range Band 7 $111,873 - $125,191 plus 12% Super&nbsp; Full time, permanent position We are a diverse &amp; inclusive council based in St Kilda with a positive culture and flexible working arrangements possible&nbsp; About City of Port Phillip&nbsp; We are a vibrant and diverse inner-city council stretching 20kms from South to Port Melbourne along the stunning bay beaches down to Elwood and out to St Kilda East with around 1000 people who all work together to deliver more than 100 program…",HR & Recruitment Jobs,Not specified
Senior Healthy Places Urban Designer,Liverpool City Council,"Liverpool Area, Western Sydney","WHY US: &nbsp;&nbsp; Your chance to be part of the team that creates and maintains our infrastructure. We’re responsible for managing our habitats and&nbsp; &nbsp;surroundings, so they are beautiful - now and for the future. Bring your skills and experience, become a steward of our council&nbsp; &nbsp;environment in a modern organisation that’s making a tangible difference. JOB DETAILS &nbsp; &nbsp; 1 &nbsp;x&nbsp;Temporary &nbsp;Full Time &nbsp;Contract until 31st October 2027 &nbsp; &nbsp;35&…",Creative & Design Jobs,Not specified
Senior Urban Design Advisor,Liverpool City Council,"Liverpool Area, Western Sydney","WHY US: Your chance to be part of the team that creates and maintains our infrastructure. We’re responsible for managing our habitats and surroundings, so they are beautiful - now and for the future. Bring your skills and experience, become a steward of our council environment in a modern organisation that’s making a tangible difference. JOB DETAILS:&nbsp; &nbsp; &nbsp;&nbsp; &nbsp; T emporary&nbsp; Full -Time &nbsp;position 1 Yrs contract&nbsp;&nbsp; &nbsp; 35&nbsp;Hours&nbsp; &nbsp; &nbsp;5&n…",Creative & Design Jobs,Not specified
Rates Manager,Wollongong City Council,"Wollongong Area, Illawarra","At Wollongong City Council, we continuously strive to create an Extraordinary Wollongong. We focus on the delivery of exceptional services, infrastructure and facilities for our community. Wollongong is a great place to work, live and play! Together, our responsibility is to create an inclusive community where everyone is welcome, valued and belongs. Our strength is the diversity of our people. We lead with courage, openness and curiosity and believe our employees are the key to our success. Le…",Accounting & Finance Jobs,Not specified
"Project Director, Protecting Australia's Nature",The Pew Charitable Trusts,"West Perth, Perth","Application Deadline: Friday, September 19, 2025 The Environment Portfolio at The Pew Charitable Trusts For more than 30 years, Pew has been a major force in engaging the public and policy makers about the causes, consequences, and solutions to some of the world’s most pressing environmental challenges. Our environment work spans all seven continents with more than 250 professionals working at the local, national, and international levels to reduce the scope and severity of global environmental…",Consultancy Jobs,Not specified
